Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,192,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,196,Cyprus,3377.025,21692.741,100,,,,,,,,,,3377.025,,,,,,,,,,100,300,,,,,,,,,19191.223,2501.518,,,,,,,,
2017,200,Czechoslovakia (...1992),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,203,Czechia,955588.962,1463046.937,276,616,100,703,442,070,040,380,705,826,351286.522,171911.37,119358.647,97792.153,40919.45,34701.784,29002.786,27280.553,22248.151,20475.553,703,276,040,380,100,688,616,826,807,499,533382.13,291062.052,217136.119,216878.621,71709.423,37674.428,21020.08,18216.505,17503.223,8424.28
2017,204,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,208,Denmark,510752.372,423482.488,752,579,276,100,203,705,499,300,070,,191360.902,182467.926,105417.534,25067.298,3438.068,1801.195,1013.976,156.226,29.247,,276,752,579,203,499,100,528,705,070,,245457.609,85128.059,80992.627,3602.309,2981.258,2915.453,1418.119,983.539,3.515,
2017,212,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,214,Dominican Rep.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,218,Ecuador,434.473,3352.163,170,,,,,,,,,,434.473,,,,,,,,,,170,604,,,,,,,,,3150.196,201.967,,,,,,,,
2017,222,El Salvador,99442.556,2405.429,320,591,188,,,,,,,,82605.611,15372.662,1464.283,,,,,,,,340,188,558,320,591,,,,,,1118.954,440.886,410.427,334.61,100.552,,,,,
2017,226,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,231,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,232,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,233,Estonia,76500.69,151464.045,246,440,428,,,,,,,,45863.23,25037.199,5600.261,,,,,,,,428,246,440,643,,,,,,,99067.549,37654.221,14706.391,35.884,,,,,,
